Country,avg_temperature,COUNTRY_ISO
Albania,60.19994524,ALB
Algeria,64.48389923,DZA
Argentina,63.2924425,ARG
Australia,62.73242059,AUS
Austria,51.36100767,AUT
Bahamas,78.60317634,BHS
Bahrain,81.6626506,BHR
Bangladesh,47.04818182,BGD
Barbados,80.99901424,BRB
Belarus,45.84983571,BLR
Belgium,50.92656079,BEL
Belize,80.41725082,BLZ
Benin,81.10153341,BEN
Bermuda,69.8974359,BMU
Bolivia,45.3584885,BOL
Brazil,72.02866009,BRA
Bulgaria,52.74512596,BGR
Canada,42.25479505,CAN
Central African Republic,76.02426068,CAF
China,60.16876232,CHN
Colombia,56.67338445,COL
Congo,77.4939759,COG
Costa Rica,72.43351588,CRI
Croatia,54.73515882,HRV
Cuba,75.1279299,CUB
Cyprus,-97.9005814,CYP
Czech Republic,47.89759036,CZE
Denmark,47.05985761,DNK
Dominican Republic,59.66056955,DOM
Egypt,73.06445783,EGY
Equador,45.47926863,NA
Ethiopia,48.39605911,ETH
Finland,42.6356517,FIN
France,54.79052574,FRA
Gabon,78.36664841,GAB
Gambia,78.58247536,GMB
Germany,33.00223572,DEU
Greece,34.43941606,GRC
Guatemala,66.43756846,GTM
Guinea,59.60580504,GIN
Guinea-Bissau,73.14769989,GNB
Guyana,-51.89324523,GUY
Haiti,45.24994524,HTI
Honduras,71.02918949,HND
Hong Kong,75.37119387,HKG
Hungary,51.95394304,HUN
Iceland,42.12020811,ISL
India,80.2415115,IND
Indonesia,82.33466594,IDN
Ireland,49.08773275,IRL
Italy,57.89701533,ITA
Ivory Coast,78.51533406,CIV
Japan,56.68795181,JPN
Jordan,65.30821468,JOR
Kazakhstan,49.18061336,KAZ
Kenya,20.67969349,KEN
Kuwait,80.15098576,KWT
Kyrgyzstan,52.97765608,KGZ
Laos,81.16812705,LAO
Latvia,44.50744797,LVA
Lebanon,71.03729463,LBN
Macedonia,54.98357065,MKD
Madagascar,63.56993428,MDG
Malawi,43.10557678,MWI
Malaysia,82.7492333,MYS
Mauritania,77.95158817,MRT
Mexico,56.23138113,MEX
Mongolia,28.33871851,MNG
Morocco,63.01675794,MAR
Mozambique,46.67097481,MOZ
Myanmar (Burma),81.86911281,MMR
Namibia,62.31401972,NAM
Nepal,63.20224535,NPL
New Zealand,59.22311062,NZL
Nicaragua,80.87004381,NIC
Nigeria,76.46892965,NGA
North Korea,50.88708265,PRK
Norway,41.08603505,NOR
Oman,49.0727422,OMN
Pakistan,75.80714677,PAK
Panama,80.33483023,PAN
Peru,67.06971522,PER
Philippines,82.27141292,PHL
Poland,47.91615553,POL
Portugal,61.70607886,PRT
Qatar,83.67031763,QAT
Romania,52.99720701,ROU
Russia,43.02995619,RUS
Saudi Arabia,79.60167032,SAU
Senegal,76.5905805,SEN
Sierra Leone,14.77753425,SLE
Singapore,81.98488499,SGP
Slovakia,52.12875137,SVK
South Africa,62.68072289,ZAF
South Korea,53.14299014,KOR
Spain,60.12013509,ESP
Sri Lanka,79.95717415,LKA
Suriname,76.37053669,SUR
Sweden,44.95334064,SWE
Switzerland,50.14129244,CHE
Syria,64.18099671,SYR
Taiwan,73.4286966,TWN
Tajikistan,60.05328587,TJK
Tanzania,70.74860427,TZA
Thailand,82.98714499,THA
The Netherlands,50.81330778,NLD
Togo,80.61845564,TGO
Tunisia,67.33926616,TUN
Turkey,56.49301752,TUR
Turkmenistan,64.06768894,TKM
US,56.82160662,USA
Uganda,51.72239869,UGA
Ukraine,48.28192771,UKR
United Arab Emirates,83.76979737,ARE
United Kingdom,51.11637459,GBR
Uruguay,62.01905805,URY
Uzbekistan,60.28138007,UZB
Venezuela,80.52245345,VEN
Vietnam,74.80021906,VNM
Yugoslavia,55.08066813,NA
Zambia,57.04652731,ZMB
