ISO_code,countries,ECONOMIC FREEDOM,rank,AVG ECONOMIC FREEDOM,AVG RANK
ARG,Argentina,4.49,158,5.116,147
ARM,Armenia,7.7,23,7.682,18
AUS,Australia,8.02,7,7.986,7
AZE,Azerbaijan,6.4,115,6.208,121
BRA,Brazil,5.93,132,6.226,117
CHL,Chile,7.84,12,7.866,10
CHN,China,6.38,116,6.344,113
COL,Colombia,6.58,104,6.706,91
CYP,Cyprus,7.33,54,7.454,38
DEU,Germany,7.67,26,7.648,21
DZA,Algeria,5.01,152,5.026,149
ECU,Ecuador,5.66,142,5.864,135
EGY,Egypt,5.78,139,6.092,125
ESP,Spain,7.45,42,7.384,41
EST,Estonia,7.79,17,7.746,5
GEO,Georgia,8.02,7,7.756,16
GHA,Ghana,6.41,114,6.582,99
HKG,Hong Kong,9,1,8.986,1
HTI,Haiti,6.58,104,6.288,116
IND,India,6.23,122,6.418,110
JOR,Jordan,7.54,34,7.536,29
JPN,Japan,7.52,36,7.56,27
KAZ,Kazakhstan,7.23,64,7.082,67
KGZ,Kyrgyz Republic,6.96,80,6.724,91
KOR,"Korea, South",7.55,33,7.478,33
KWT,Kuwait,6.77,91,6.884,80
LBN,Lebanon,6.98,79,7.06,68
LBY,Libya,4.81,156,4.795,155
MAR,Morocco,6.28,120,6.374,111
MEX,Mexico,6.85,87,6.736,89
MYS,Malaysia,7.1,71,6.946,76
NGA,Nigeria,6.38,116,6.29,116
NLD,Netherlands,7.74,21,7.592,25
NZL,New Zealand,8.48,3,8.43,3
PAK,Pakistan,5.89,135,6.116,124
PER,Peru,7.53,35,7.576,26
PHL,Philippines,7.4,47,7.296,50
POL,Poland,7.43,45,7.272,52
QAT,Qatar,7.68,24,7.46,35
ROU,Romania,7.74,21,7.496,33
RUS,Russia,6.59,103,6.592,100
RWA,Rwanda,7.43,45,7.366,43
SGP,Singapore,8.84,2,8.728,2
SVN,Slovenia,7.01,75,6.85,82
SWE,Sweden,7.62,28,7.538,28
THA,Thailand,6.62,102,6.61,99
TTO,Trinidad & Tob.,6.75,93,6.676,94
TUN,Tunisia,6.48,109,6.538,102
TUR,Turkey,6.87,84,6.916,78
TWN,Taiwan,7.76,20,7.72,15
UKR,Ukraine,5.91,133,6.05,127
URY,Uruguay,7.14,69,7.292,49
USA,United States,7.81,13,7.8,12
YEM,"Yemen, Rep.",6.74,95,6.31,116
ZAF,South Africa,6.87,84,7.02,71
ZWE,Zimbabwe,5.63,143,5.076,147
