"ISO_code","countries","ECONOMIC.FREEDOM","rank","AVG.ECONOMIC.FREEDOM","AVG.RANK","life_satisfaction","subjective_health","happiness","financial_satisfaction","life_satisfaction_scaled","subjective_health_scaled","happiness_scaled","financial_satisfaction_scaled","avg_temperature","avg_temperature_scaled","ECONOMIC.FREEDOM_scaled"
"ARG","Argentina",4.49,158,5.116,147,7.489,2.96,3.182,6.455,0.81221709942965,0.194170144737385,0.161512568822966,0.642194228852234,63.2924425,0.140038872410112,-2.80175174470512
"AUS","Australia",8.02,7,7.986,7,7.38118131868132,3.04326923076923,3.30357142857143,6.61675824175824,0.674580882032329,0.494710327718063,0.617764265379932,0.826992929686554,62.73242059,0.119761451840975,1.10202921113103
"BRA","Brazil",5.93,132,6.226,117,7.85337837837838,2.90743243243243,3.25945945945946,6.20810810810811,1.2773652638107,0.00444020212041637,0.452214176989061,0.360135643322237,72.02866009,0.456362136005144,-1.20927452759349
"CHN","China",6.38,116,6.344,113,6.89762340036563,2.85054844606947,3.01508226691042,6.25091407678245,0.0572937667060341,-0.200868811932734,-0.464921617255708,0.40903879232404,60.16876232,0.0269358391139005,-0.711625397246107
"COL","Colombia",6.58,104,6.706,91,8.39297548045063,3.00662690523525,3.47581179589132,6.69913850231942,1.96618934456777,0.362458701047721,1.26417404051162,0.921107238550339,56.67338445,-0.0996257218758198,-0.490448005980602
"CYP","Cyprus",7.33,54,7.454,38,7.00403632694248,2.9606458123108,3.08879919273461,5.7891019172553,0.193135464240123,0.196501048340857,-0.188265556966913,-0.118552792391989,-97.9005814,-5.69648052096732,0.33896721126504
"DEU","Germany",7.67,26,7.648,21,7.40836653386454,2.87201195219123,3.0906374501992,6.56125498007968,0.709284239012663,-0.123401468982029,-0.181366665535067,0.763583915476354,33.00223572,-0.956716899170661,0.714968776416397
"DZA","Algeria",5.01,152,5.026,149,6.38440366972477,2.81651376146789,2.94495412844037,6.11926605504587,-0.597858212108241,-0.323708788276416,-0.728109132030557,0.258639139608425,64.48389923,0.183179450970938,-2.22669052741481
"EGY","Egypt",5.78,139,6.092,125,5.01050558108995,2.56992777413001,1.93959290873276,4.97242284963887,-2.35171138204439,-1.21370137101543,-4.50118120607195,-1.05155768323187,73.06445783,0.49386657292716,-1.37515757104262
"ESP","Spain",7.45,42,7.384,41,6.7666378565255,2.88677614520311,3.00605012964564,5.5514261019879,-0.109916169154712,-0.0701136791422382,-0.498818791937433,-0.3900825852714,60.12013509,0.025175131584043,0.471673646024342
